k,State,City,Name,Type,Establishment Year,time needed to visit in hrs,Google review rating,Significance,Number of google review in lakhs,Best Time to visit,Image URL,Weighted Rating,Weighted Rating_normalize,Number of google review in lakhs_normalize,recommendations
Northern,Delhi,Delhi,National Gallery of Modern Art,Museum,1954,3,4.5,Artistic,8000,All,https://images.unsplash.com/photo-1664892527229-0cb562a13775?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYxNzV8MHwxfHNlYXJjaHwxfHxOYXRpb25hbCUyMEdhbGxlcnklMjBvZiUyME1vZGVybiUyMEFydHxlbnwwfHx8fDE3MjkyNDQyODV8MA&ixlib=rb-4.0.3&q=80&w=400,4.499998269,0.971425922,0.039242219,0.505334071
Northern,Delhi,Delhi,National Zoological Park ,Zoo,1959,3,4.1,Environmental,41000,All,https://images.unsplash.com/photo-1510549086801-abcb351c6300?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYxNzV8MHwxfHNlYXJjaHwxfHxOYXRpb25hbCUyMFpvb2xvZ2ljYWwlMjBQYXJrJTIwfGVufDB8fHx8MTcyOTI0NDI4Nnww&ixlib=rb-4.0.3&q=80&w=400,4.100009418,0.971425819,0.037889039,0.504657429
Southern,Telangana,Hyderabad,Lumbini Park,Park,1994,1,4.1,Recreational,73000,Evening,https://images.unsplash.com/photo-1706187243907-20b4a3944a41?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYxNzV8MHwxfHNlYXJjaHwxfHxMdW1iaW5pJTIwUGFya3xlbnwwfHx8fDE3MjkyNDQzMDZ8MA&ixlib=rb-4.0.3&q=80&w=400,4.10000529,0.942855952,0.064952639,0.503904296
Eastern,West Bengal,Kolkata,Howrah Bridge,Bridge,1943,0.5,4.6,Architectural,120000,Anytime,https://images.unsplash.com/photo-1536421469767-80559bb6f5e1?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYxNzV8MHwxfHNlYXJjaHwxfHxIb3dyYWglMjBCcmlkZ2V8ZW58MHx8fHwxNzI5MjQ0MzA3fDA&ixlib=rb-4.0.3&q=80&w=400,4.599999051,0.942855952,0.064952639,0.503904296
Eastern,West Bengal,Kolkata,Victoria Memorial,Museum,1921,1.5,4.6,Historical,73000,Morning,https://images.unsplash.com/photo-1720253919910-1571c2b93ad7?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYxNzV8MHwxfHNlYXJjaHwxfHxWaWN0b3JpYSUyME1lbW9yaWFsfGVufDB8fHx8MTcyOTI0NDMwN3ww&ixlib=rb-4.0.3&q=80&w=400,4.59999844,0.942855952,0.064952639,0.503904296
Northern,Himachal Pradesh,dalhousie,Dalai Lama Temple,Temple,1959,1.5,4.7,Religious,15000,All,https://images.unsplash.com/photo-1545295771-55207789f9c9?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYyMTV8MHwxfHNlYXJjaHwxfHxEYWxhaSUyMExhbWElMjBUZW1wbGV8ZW58MHx8fHwxNzI5MjUxMzA0fDA&ixlib=rb-4.0.3&q=80&w=400,4.699985745,0.885713732,0.120433018,0.503073375
Eastern,West Bengal,Kolkata,Indian Museum,Museum,1814,2,4.6,Historical,18000,Morning,https://images.unsplash.com/photo-1655389819956-ac832bfb6795?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYxNzV8MHwxfHNlYXJjaHwxfHxJbmRpYW4lMjBNdXNldW18ZW58MHx8fHwxNzI5MjQ0MzA4fDA&ixlib=rb-4.0.3&q=80&w=400,4.599993676,0.942855899,0.062246279,0.502551089
Eastern,West Bengal,Kolkata,Dakshineswar Kali Temple,Temple,1855,1,4.7,Religious,82000,Morning,https://images.unsplash.com/photo-1677397333707-7b833006983d?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYxNzV8MHwxfHNlYXJjaHwxfHxEYWtzaGluZXN3YXIlMjBLYWxpJTIwVGVtcGxlfGVufDB8fHx8MTcyOTI0NDMwOXww&ixlib=rb-4.0.3&q=80&w=400,4.699997392,0.942855871,0.060893099,0.501874485
Northern,Punjab,Amritsar,Jallianwala Bagh,Memorial,1951,1,4.8,Historical,30000,Afternoon,https://images.unsplash.com/photo-1592013079736-2408be506279?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYxNzV8MHwxfHNlYXJjaHwxfHxKYWxsaWFud2FsYSUyMEJhZ2h8ZW58MHx8fHwxNzI5MjQ1OTI5fDA&ixlib=rb-4.0.3&q=80&w=400,4.799989539,0.914285002,0.089309878,0.50179744
Eastern,West Bengal,Kolkata,Kalighat Kali Temple,Temple,1809,1,4.4,Religious,50000,Morning,https://images.unsplash.com/photo-1601208443688-c71856b84610?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYxNzV8MHwxfHNlYXJjaHwxfHxLYWxpZ2hhdCUyMEthbGklMjBUZW1wbGV8ZW58MHx8fHwxNzI5MjQ0MzEwfDA&ixlib=rb-4.0.3&q=80&w=400,4.400001723,0.942855811,0.058186739,0.500521275
Northern,Punjab,Amritsar,Wagah Border,Border Crossing,1950,2,4.8,Cultural,17000,Evening,https://images.unsplash.com/photo-1598431416007-869a2a727f8b?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYxNzV8MHwxfHNlYXJjaHwxfHxXYWdhaCUyMEJvcmRlcnxlbnwwfHx8fDE3MjkyNDU5MzN8MA&ixlib=rb-4.0.3&q=80&w=400,4.79998154,0.914284979,0.085250338,0.499767659
Eastern,West Bengal,Kolkata,Eden Gardens,Cricket Ground,1864,3,4.1,Sports,10000,All,https://images.unsplash.com/photo-1682066502781-945be92dfdb7?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYxNzV8MHwxfHNlYXJjaHwxfHxFZGVuJTIwR2FyZGVuc3xlbnwwfHx8fDE3MjkyNDQzMTB8MA&ixlib=rb-4.0.3&q=80&w=400,4.100038612,0.942855709,0.054127199,0.498491454
Northern,Delhi,Delhi,Qutub Minar,Monument,1192,1,4.5,Historical,137000,Afternoon,https://images.unsplash.com/photo-1686294137296-9f8a37300dfd?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYxNzV8MHwxfHNlYXJjaHwxfHxRdXR1YiUyME1pbmFyfGVufDB8fHx8MTcyOTI0NDI4Nnww&ixlib=rb-4.0.3&q=80&w=400,4.499999899,0.971423636,0.02165088,0.496537258
Eastern,West Bengal,Kolkata,Alipore Zoological Gardens,Zoo,1876,2,4.3,Wildlife,66000,Afternoon,https://images.unsplash.com/photo-1670817375677-f6054ebb9f0d?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYxNzV8MHwxfHNlYXJjaHwxfHxBbGlwb3JlJTIwWm9vbG9naWNhbCUyMEdhcmRlbnN8ZW58MHx8fHwxNzI5MjQ0MzExfDA&ixlib=rb-4.0.3&q=80&w=400,4.30000282,0.942855348,0.043301759,0.493078553
Northern,Delhi,Delhi,National Science Centre,Science,1992,5,4.4,Scientific,23000,All,https://images.unsplash.com/photo-1486825586573-7131f7991bdd?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYxNzV8MHwxfHNlYXJjaHwxfHxOYXRpb25hbCUyMFNjaWVuY2UlMjBDZW50cmV8ZW58MHx8fHwxNzI5MjQ0Mjg3fDA&ixlib=rb-4.0.3&q=80&w=400,4.400003746,0.971419945,0.01217862,0.491799282
Western,Maharastra,Mumbai,Marine Drive,Promenade,Unknown,2,4.5,Scenic,150000,Evening,https://images.unsplash.com/photo-1550235438-aa60f4d77517?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYxNzV8MHwxfHNlYXJjaHwxfHxNYXJpbmUlMjBEcml2ZXxlbnwwfHx8fDE3MjkyNDQyODd8MA&ixlib=rb-4.0.3&q=80&w=400,4.499999908,0.971419945,0.01217862,0.491799282
Western,Maharastra,Mumbai,Gateway of India,Monument,1924,1,4.6,Historical,360000,All,https://images.unsplash.com/photo-1558459393-10295ef6e62a?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYxNzV8MHwxfHNlYXJjaHwxfHxHYXRld2F5JTIwb2YlMjBJbmRpYXxlbnwwfHx8fDE3MjkyNDQyODh8MA&ixlib=rb-4.0.3&q=80&w=400,4.599999684,0.971419945,0.01217862,0.491799282
Western,Maharastra,Mumbai,Chhatrapati Shivaji Maharaj Vastu Sangrahalaya,Museum,1922,1,4.6,Historical,34000,All,https://images.unsplash.com/photo-1703165414683-2ea7dc989d5a?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYxNzV8MHwxfHNlYXJjaHwxfHxDaGhhdHJhcGF0aSUyMFNoaXZhamklMjBNYWhhcmFqJTIwVmFzdHUlMjBTYW5ncmFoYWxheWF8ZW58MHx8fHwxNzI5MjQ0Mjg5fDA&ixlib=rb-4.0.3&q=80&w=400,4.599996652,0.971418948,0.01082544,0.491122194
Western,Maharastra,Mumbai,Sanjay Gandhi National Park,National Park,1996,3,4.3,Wildlife,60000,All,https://images.unsplash.com/photo-1665844830397-9f53a1839b10?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYxNzV8MHwxfHNlYXJjaHwxfHxTYW5qYXklMjBHYW5kaGklMjBOYXRpb25hbCUyMFBhcmt8ZW58MHx8fHwxNzI5MjQ0MjkwfDA&ixlib=rb-4.0.3&q=80&w=400,4.300003103,0.971418948,0.01082544,0.491122194
Eastern,West Bengal,Kolkata,Science City Kolkata,Science,1997,3,4.4,Educational,88000,All,https://images.unsplash.com/photo-1477959858617-67f85cf4f1df?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYxNzV8MHwxfHNlYXJjaHwxfHxTY2llbmNlJTIwQ2l0eSUyMEtvbGthdGF8ZW58MHx8fHwxNzI5MjQ0MzEyfDA&ixlib=rb-4.0.3&q=80&w=400,4.400000979,0.942855163,0.039242219,0.491048691
Northern,Punjab,Chandigarh,Rock Garden,Sculpture Garden,1976,2,4.5,Artistic,50000,All,https://images.unsplash.com/photo-1623859006907-9a455f980035?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYxNzV8MHwxfHNlYXJjaHwxfHxSb2NrJTIwR2FyZGVufGVufDB8fHx8MTcyOTI0NTkzOHww&ixlib=rb-4.0.3&q=80&w=400,4.499999723,0.914284837,0.066305819,0.490295328
Eastern,West Bengal,Kolkata,Belur Math,Site,1898,1.5,4.7,Religious,47000,Morning,https://images.unsplash.com/photo-1677219100015-f9184f7486c5?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYxNzV8MHwxfHNlYXJjaHwxfHxCZWx1ciUyME1hdGh8ZW58MHx8fHwxNzI5MjQ1NzU1fDA&ixlib=rb-4.0.3&q=80&w=400,4.69999545,0.942855017,0.036535859,0.489695438
Southern,Kerala,Alappuzha,Alappuzha Beach,Beach,Unknown,1.5,4.5,Recreational,11000,All,https://images.unsplash.com/photo-1635612978150-db1d581a479c?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYxNzV8MHwxfHNlYXJjaHwxfHxBbGFwcHV6aGElMjBCZWFjaHxlbnwwfHx8fDE3MjkyNDU5NDJ8MA&ixlib=rb-4.0.3&q=80&w=400,4.499998741,0.914284824,0.064952639,0.489618731
Southern,Andhra Pradesh,Visakhapatnam,Kailasagiri,Hill,Unknown,2,4.5,Recreational,1900,All,https://images.unsplash.com/photo-1710237893364-ff94968aa034?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYyMjB8MHwxfHNlYXJjaHwxfHxLYWlsYXNhZ2lyaXxlbnwwfHx8fDE3MjkyNTIwMDJ8MA&ixlib=rb-4.0.3&q=80&w=400,4.499992716,0.857142338,0.120433018,0.488787678
Western,Maharastra,Mumbai,Siddhivinayak Temple,Temple,1881,2,4.8,Religious,105000,All,https://images.unsplash.com/photo-1601208443688-c71856b84610?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYxNzV8MHwxfHNlYXJjaHwxfHxTaWRkaGl2aW5heWFrJTIwVGVtcGxlfGVufDB8fHx8MTcyOTI0NDI5MHww&ixlib=rb-4.0.3&q=80&w=400,4.799997011,0.97141098,0.00541272,0.48841185
Southern,Kerala,Munnar,Munnar Tea Gardens,Scenic Area,Unknown,2,4.3,Nature,30000,All,https://images.unsplash.com/photo-1491497895121-1334fc14d8c9?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYxNzV8MHwxfHNlYXJjaHwxfHxNdW5uYXIlMjBUZWElMjBHYXJkZW5zfGVufDB8fHx8MTcyOTI0NTk0Nnww&ixlib=rb-4.0.3&q=80&w=400,4.300006205,0.914284796,0.062246279,0.488265537
Western,Maharastra,Mumbai,Mahalaxmi Temple,Temple,1831,1,4.7,Religious,33000,All,https://images.unsplash.com/photo-1601208443688-c71856b84610?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYxNzV8MHwxfHNlYXJjaHwxfHxNYWhhbGF4bWklMjBUZW1wbGV8ZW58MHx8fHwxNzI5MjQ0MjkxfDA&ixlib=rb-4.0.3&q=80&w=400,4.69999352,0.971408988,0.00473613,0.488072559
Eastern,West Bengal,Kolkata,Marble Palace,Palace,1835,1,4.4,Historical,10000,Afternoon,https://images.unsplash.com/photo-1724650965526-4ab37c60a3f9?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYxNzV8MHwxfHNlYXJjaHwxfHxNYXJibGUlMjBQYWxhY2V8ZW58MHx8fHwxNzI5MjQ1NzU5fDA&ixlib=rb-4.0.3&q=80&w=400,4.400008615,0.942854755,0.032476319,0.487665537
Southern,Andhra Pradesh,Vizianagaram,Simhachalam Temple,Temple,198,1,4.7,Religious,59000,All,https://images.unsplash.com/photo-1601208443688-c71856b84610?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYyMjB8MHwxfHNlYXJjaHwxfHxTaW1oYWNoYWxhbSUyMFRlbXBsZXxlbnwwfHx8fDE3MjkyNTIwMDJ8MA&ixlib=rb-4.0.3&q=80&w=400,4.699996376,0.857142344,0.117726658,0.487434501
Western,Maharastra,Mumbai,Haji Ali Dargah,Religious Shrine,1431,2,4.4,Religious,16000,All,https://images.unsplash.com/photo-1587842501012-1bf5cca58a40?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYxNzV8MHwxfHNlYXJjaHwxfHxIYWppJTIwQWxpJTIwRGFyZ2FofGVufDB8fHx8MTcyOTI0NDI5Mnww&ixlib=rb-4.0.3&q=80&w=400,4.400005384,0.97139903,0.00270636,0.487052695
Western,Maharastra,Mumbai,Chowpatty Beach,Beach,Unknown,2,4.3,Recreational,5000,Evening,https://images.unsplash.com/photo-1581748931384-5e611fdefb8d?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYxNzV8MHwxfHNlYXJjaHwxfHxDaG93cGF0dHklMjBCZWFjaHxlbnwwfHx8fDE3MjkyNDQyOTJ8MA&ixlib=rb-4.0.3&q=80&w=400,4.300037223,0.971393057,0.00202977,0.486711413
Western,Maharastra,Mumbai,Essel World,Amusement Park,1986,5,4.3,Recreational,27000,All,https://images.unsplash.com/photo-1476304884326-cd2c88572c5f?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYxNzV8MHwxfHNlYXJjaHwxfHxFc3NlbCUyMFdvcmxkfGVufDB8fHx8MTcyOTI0NDI5M3ww&ixlib=rb-4.0.3&q=80&w=400,4.300006894,0.971393057,0.00202977,0.486711413
Western,Maharastra,Mumbai,Elephanta Caves,Monument,1987,4,4.3,Historical,35000,All ,https://images.unsplash.com/photo-1619951068574-b3bbe7a07426?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYxNzV8MHwxfHNlYXJjaHwxfHxFbGVwaGFudGElMjBDYXZlc3xlbnwwfHx8fDE3MjkyNDQyOTR8MA&ixlib=rb-4.0.3&q=80&w=400,4.300005319,0.971354247,0.000270636,0.485812441
Western,Maharastra,Lonavala,Imagicaa,Amusement Park,2013,5,1.4,Recreational,95000,All,https://images.unsplash.com/photo-1723524993962-0234edebe0cf?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYxNzV8MHwxfHNlYXJjaHwxfHxJbWFnaWNhYXxlbnwwfHx8fDE3MjkyNDQyOTV8MA&ixlib=rb-4.0.3&q=80&w=400,1.400032485,0.971347466,0.000135318,0.485741392
Southern,Karnataka,Bangalore,Lalbagh Botanical Garden,Botanical Garden,1760,1.5,4.4,Nature,150000,Evening,https://images.unsplash.com/photo-1663062542918-b705c09efff1?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYxNzV8MHwxfHNlYXJjaHwxfHxMYWxiYWdoJTIwQm90YW5pY2FsJTIwR2FyZGVufGVufDB8fHx8MTcyOTI0NDI5Nnww&ixlib=rb-4.0.3&q=80&w=400,4.400000574,0.971339329,0,0.485669665
Southern,Karnataka,Bangalore,Bangalore Palace,Palace,1878,2,4.2,Historical,90000,Morning,https://images.unsplash.com/photo-1672828792610-c336e7db6646?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYxNzV8MHwxfHNlYXJjaHwxfHxCYW5nYWxvcmUlMjBQYWxhY2V8ZW58MHx8fHwxNzI5MjQ0Mjk1fDA&ixlib=rb-4.0.3&q=80&w=400,4.200003179,0.971339329,0,0.485669665
Northern,Himachal Pradesh,Dalhousie,Khajjiar Lake,Lake,Unknown,1.5,4.5,Nature,10000,Morning,https://images.unsplash.com/photo-1589702413183-ca141958b7c5?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYyMTV8MHwxfHNlYXJjaHwxfHxLaGFqamlhciUyMExha2V8ZW58MHx8fHwxNzI5MjUxMzA0fDA&ixlib=rb-4.0.3&q=80&w=400,4.499998616,0.885713713,0.083897158,0.484805436
Southern,Goa,Goa,Calangute Beach,Beach,Unknown,2,4.4,Scenic,26000,Evening,https://images.unsplash.com/photo-1560316644-03813d2504d6?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYxNzV8MHwxfHNlYXJjaHwxfHxDYWxhbmd1dGUlMjBCZWFjaHxlbnwwfHx8fDE3MjkyNDU3NjN8MA&ixlib=rb-4.0.3&q=80&w=400,4.400003313,0.942854144,0.025710419,0.484282282
Southern,Kerala,Kochi,Fort Kochi,Site,1503,1,4.4,Historical,10000,All,https://images.unsplash.com/photo-1696966358360-f64c761e0cb5?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYxNzV8MHwxfHNlYXJjaHwxfHxGb3J0JTIwS29jaGl8ZW58MHx8fHwxNzI5MjQ1OTUxfDA&ixlib=rb-4.0.3&q=80&w=400,4.400008615,0.914284694,0.054127199,0.484205947
Southern,Kerala,Thiruvananthapuram,Padmanabhaswamy Temple,Temple,Unknown,1,4.7,Religious,46000,All,https://images.unsplash.com/photo-1601208443688-c71856b84610?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYxNzV8MHwxfHNlYXJjaHwxfHxQYWRtYW5hYmhhc3dhbXklMjBUZW1wbGV8ZW58MHx8fHwxNzI5MjQ1OTU1fDA&ixlib=rb-4.0.3&q=80&w=400,4.699995351,0.914284675,0.052774019,0.483529347
Northern,Himachal Pradesh,Spiti Valley,Key Monastery,Monastery,1100,1,4.8,Religious,2500,Morning,https://images.unsplash.com/photo-1579531403068-8d6fd2b3f45d?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYyMTV8MHwxfHNlYXJjaHwxfHxLZXklMjBNb25hc3Rlcnl8ZW58MHx8fHwxNzI5MjUxMzA1fDA&ixlib=rb-4.0.3&q=80&w=400,4.799874512,0.88571371,0.079837618,0.482775664
Southern,Andhra Pradesh,Puttaparthi,Prasanthi Nilayam,Spiritual Center,1950,1,4.7,Religious,12000,All,Not Defined,4.699982181,0.857142369,0.108254398,0.482698383
Northern,Himachal Pradesh,Kullu,Great Himalayan National Park,National Park,1984,3,4.5,Wildlife,20000,All,https://images.unsplash.com/photo-1556116658-12666224a925?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYyMTV8MHwxfHNlYXJjaHwxfHxHcmVhdCUyMEhpbWFsYXlhbiUyME5hdGlvbmFsJTIwUGFya3xlbnwwfHx8fDE3MjkyNTEzMDZ8MA&ixlib=rb-4.0.3&q=80&w=400,4.499999308,0.885713709,0.078484438,0.482099074
Northern,Himachal Pradesh,Chamba,Chamera Lake,Lake,Unknown,2,4.4,Recreational,1000,Morning,https://images.unsplash.com/photo-1577636274301-929428ff2306?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYyMTV8MHwxfHNlYXJjaHwxfHxDaGFtZXJhJTIwTGFrZXxlbnwwfHx8fDE3MjkyNTEzMDZ8MA&ixlib=rb-4.0.3&q=80&w=400,4.400086068,0.885713709,0.078484438,0.482099074
Southern,Goa,Goa,Fort Aguada,Fort,1612,1.5,4.2,Historical,95000,Morning,https://images.unsplash.com/photo-1727202132811-056a2bae5512?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYxNzV8MHwxfHNlYXJjaHwxfHxGb3J0JTIwQWd1YWRhfGVufDB8fHx8MTcyOTI0NTc3MXww&ixlib=rb-4.0.3&q=80&w=400,4.200003012,0.942853126,0.01894452,0.480898823
Southern,Goa,Goa,Basilica of Bom Jesus,Church,1605,1,4.5,Historical,59000,Afternoon,https://images.unsplash.com/photo-1685423142584-8054c84450bd?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYxNzV8MHwxfHNlYXJjaHwxfHxCYXNpbGljYSUyMG9mJTIwQm9tJTIwSmVzdXN8ZW58MHx8fHwxNzI5MjQ1NzY3fDA&ixlib=rb-4.0.3&q=80&w=400,4.499999765,0.942853126,0.01894452,0.480898823
Southern,Kerala,Thekkady,Periyar National Park,National Park,1982,3,4.3,Wildlife,14000,All,https://images.unsplash.com/photo-1707141774413-5e6e3dac3db3?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYyMDl8MHwxfHNlYXJjaHwxfHxQZXJpeWFyJTIwTmF0aW9uYWwlMjBQYXJrfGVufDB8fHx8MTcyOTI1MDMzM3ww&ixlib=rb-4.0.3&q=80&w=400,4.300013296,0.914284558,0.046008119,0.480146339
Southern,Kerala,Kozhikode,Kozhikode Beach,Beach,Unknown,1.5,3.9,Recreational,5900,All,https://images.unsplash.com/photo-1694931537831-df7efcac39a0?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYxNzV8MHwxfHNlYXJjaHwxfHxLb3poaWtvZGUlMjBCZWFjaHxlbnwwfHx8fDE3MjkyNDk0MzN8MA&ixlib=rb-4.0.3&q=80&w=400,3.900099331,0.914284558,0.046008119,0.480146339
Southern,Kerala,Kumarakom,Kumarakom Bird Sanctuary,Bird Sanctuary,1972,2,3.8,Wildlife,10000,All,https://images.unsplash.com/photo-1506058675424-d2dc33fa688d?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYyMDl8MHwxfHNlYXJjaHwxfHxLdW1hcmFrb20lMjBCaXJkJTIwU2FuY3R1YXJ5fGVufDB8fHx8MTcyOTI1MDMzM3ww&ixlib=rb-4.0.3&q=80&w=400,3.800068609,0.914284558,0.046008119,0.480146339
Southern,Kerala,Wayanad,Wayanad Wildlife Sanctuary,Wildlife Sanctuary,Unknown,3,4.5,Wildlife,220000,All,https://images.unsplash.com/photo-1516934024742-b461fba47600?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYyMDl8MHwxfHNlYXJjaHwxfHxXYXlhbmFkJTIwV2lsZGxpZmUlMjBTYW5jdHVhcnl8ZW58MHx8fHwxNzI5MjUwMzMyfDA&ixlib=rb-4.0.3&q=80&w=400,4.499999937,0.914284558,0.046008119,0.480146339
Southern,Goa,Goa,Dudhsagar Falls,Waterfall,Unknown,3,4.6,Nature,30000,Afternoon,https://images.unsplash.com/photo-1685858874777-b87106319be7?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYxNzV8MHwxfHNlYXJjaHwxfHxEdWRoc2FnYXIlMjBGYWxsc3xlbnwwfHx8fDE3MjkyNDU3NzV8MA&ixlib=rb-4.0.3&q=80&w=400,4.599996205,0.9428525,0.01623816,0.47954533
Southern,Kerala,Varkala,Varkala Beach,Beach,Unknown,2,4.6,Recreational,10000,All,https://images.unsplash.com/photo-1611551355200-6a3d698a6dca?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYyMDl8MHwxfHNlYXJjaHwxfHxWYXJrYWxhJTIwQmVhY2h8ZW58MHx8fHwxNzI5MjUwMzM0fDA&ixlib=rb-4.0.3&q=80&w=400,4.599988617,0.914284531,0.044654939,0.479469735
Southern,Goa,Goa,Anjuna Beach,Beach,Unknown,2,4.4,Scenic,18000,Evening,https://images.unsplash.com/photo-1575747687077-b7a4bb468f65?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYxNzV8MHwxfHNlYXJjaHwxfHxBbmp1bmElMjBCZWFjaHxlbnwwfHx8fDE3MjkyNDU3Nzl8MA&ixlib=rb-4.0.3&q=80&w=400,4.400004786,0.942852108,0.01488498,0.478868544
Southern,Goa,Goa,Chapora Fort,Fort,1617,1,4.2,Historical,19000,Evening,https://images.unsplash.com/photo-1642516864457-ef3dcfa02d3a?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYxNzV8MHwxfHNlYXJjaHwxfHxDaGFwb3JhJTIwRm9ydHxlbnwwfHx8fDE3MjkyNDU3ODN8MA&ixlib=rb-4.0.3&q=80&w=400,4.20001506,0.942852108,0.01488498,0.478868544
Southern,Goa,Goa,Se Cathedral,Church,1640,1,4.5,Historical,5000,Afternoon,https://images.unsplash.com/photo-1560887665-8a8ab31bc954?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYxNzV8MHwxfHNlYXJjaHwxfHxTZSUyMENhdGhlZHJhbHxlbnwwfHx8fDE3MjkyNDU3ODZ8MA&ixlib=rb-4.0.3&q=80&w=400,4.499997231,0.942852108,0.01488498,0.478868544
Southern,Goa,Goa,Baga Beach,Beach,Unknown,2,4.5,Scenic,35000,Evening,https://images.unsplash.com/photo-1593620529462-619501b0f7f1?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYxNzV8MHwxfHNlYXJjaHwxfHxCYWdhJTIwQmVhY2h8ZW58MHx8fHwxNzI5MjQ1NzkwfDA&ixlib=rb-4.0.3&q=80&w=400,4.499999604,0.942851645,0.0135318,0.478191722
Southern,Goa,Goa,Palolem Beach,Beach,Unknown,2,4.6,Scenic,27000,Evening,https://images.unsplash.com/photo-1727193120023-12c48606b803?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYxNzV8MHwxfHNlYXJjaHwxfHxQYWxvbGVtJTIwQmVhY2h8ZW58MHx8fHwxNzI5MjQ1Nzk4fDA&ixlib=rb-4.0.3&q=80&w=400,4.599995784,0.94285109,0.01217862,0.477514855
